timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:17,30.11,-9.767,-3.648,-1.608,10.55,6.091,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:22,29.93,-9.689,-3.648,-1.491,10.46,6.039,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:28,29.71,-9.728,-3.648,-1.569,10.508,6.067,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:32,29.91,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:38,29.93,-9.728,-3.648,-1.53,10.502,6.063,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:41,29.55,-9.728,-3.57,-1.53,10.475,6.048,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:48,29.75,-9.689,-3.609,-1.569,10.458,6.038,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:52:55,29.79,-9.65,-3.687,-1.451,10.432,6.023,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:00,29.83,-9.689,-3.687,-1.53,10.479,6.05,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:08,29.89,-9.767,-3.609,-1.608,10.536,6.083,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:12,29.79,-9.689,-3.727,-1.569,10.499,6.061,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:18,29.79,-9.767,-3.609,-1.491,10.519,6.073,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:23,29.85,-9.689,-3.687,-1.569,10.485,6.053,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:28,30.17,-9.728,-3.648,-1.53,10.502,6.063,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:34,29.17,-9.728,-3.648,-1.569,10.508,6.067,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:39,29.39,-9.728,-3.648,-1.569,10.508,6.067,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:45,29.31,-9.728,-3.648,-1.569,10.508,6.067,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:51,29.19,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:53:56,29.09,-9.767,-3.648,-1.648,10.556,6.094,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:54:01,28.99,-9.728,-3.648,-1.608,10.513,6.07,,,,,,,,,,,,,,,,,,,,,
